dist	m1	ra	m2	iota	dec
2.956298400000000015e+01	4.840229351931206736e+00	2.189229599999999998e+00	4.057339195059065595e+00	6.183665999999999885e-01	-3.800728999999999913e-01
3.266260789999999758e+01	4.619632029940148321e+00	2.201046700000000023e+00	4.254703735771823148e+00	5.875835000000000363e-01	-3.837772999999999879e-01
3.637160380000000259e+01	4.861871874882581324e+00	2.175332899999999903e+00	4.040624897639291113e+00	3.166422999999999877e-01	-3.789949000000000234e-01
4.186671549999999797e+01	5.559777586805052962e+00	2.337178900000000059e+00	3.544926976835350629e+00	9.744621999999999451e-01	-3.438970000000000221e-02
3.395634040000000198e+01	5.470424474131645454e+00	2.269454500000000152e+00	3.605161259210687419e+00	7.704440000000000177e-01	-2.147070000000000090e-01
4.874667550000000205e+01	5.441171109968431452e+00	2.272508399999999984e+00	3.617274774510794710e+00	4.803488000000000202e-01	-2.158247000000000082e-01
3.720155549999999778e+01	5.460282418990068720e+00	2.224458700000000011e+00	3.614166393411945233e+00	6.374516999999999545e-01	-3.069639000000000117e-01
7.351693219999999940e+01	4.962130263507567918e+00	5.106283699999999648e+00	3.970679269402833445e+00	2.558257100000000062e+00	-4.570363000000000064e-01
1.997717109999999963e+01	5.810104310971644814e+00	2.204148800000000019e+00	3.391457820108298105e+00	1.209423300000000090e+00	-3.735254000000000074e-01
1.807145059999999859e+01	5.660459476985150395e+00	2.189745600000000181e+00	3.485177164598776578e+00	1.347341799999999923e+00	-3.779538000000000064e-01
1.878775399999999962e+01	5.650269367965522704e+00	2.195245799999999914e+00	3.495991731068244235e+00	1.032211299999999943e+00	-3.745973000000000219e-01
2.149273030000000162e+01	5.689648037033739669e+00	2.207882000000000122e+00	3.464834068549294877e+00	1.122673199999999927e+00	-3.320083999999999813e-01
3.891012589999999705e+01	5.730412048208216369e+00	2.204941499999999888e+00	3.439566942819631823e+00	2.787314000000000180e-01	-3.487508999999999748e-01
2.663316430000000068e+01	4.879129571288773448e+00	2.155545699999999787e+00	4.027504339832960412e+00	9.252496999999999527e-01	-3.973300000000000165e-01
2.934288009999999858e+01	5.083063603789307550e+00	2.172076800000000141e+00	3.866764762582024950e+00	8.479898999999999631e-01	-4.110172000000000270e-01
