simulation_id,mass,mchirp,distance
46515,2.9367642,1.2637754,35.246163
40372,3.0343236,1.3201506,133.10305
16549,2.90236,1.2382591,85.454435
12032,3.4559707,1.5039335,101.5897
39028,3.3534334,1.4589073,132.68177
20660,3.417282,1.4838013,139.7312
2073,3.1770242,1.3725797,108.15265
33443,2.9703327,1.2323246,134.02391
31038,2.5173874,1.0956753,112.33905
41720,2.7303754,1.1666884,139.93302
48127,3.2776319,1.3908856,83.631975
14433,3.0539402,1.304702,68.26722
46886,3.3406734,1.4517687,89.168933
4800,2.8760244,1.2326795,80.612517
1098,2.7036623,1.1765296,140.26003
6594,2.1950114,0.95535069,89.460934
14649,3.0461702,1.3258051,148.42499
10638,3.9394789,1.7146512,103.76291
4514,3.1062555,1.3418645,86.217154
3009,2.9520438,1.2802847,114.76792
3240,3.4487451,1.4809349,142.41393
31123,3.1085849,1.3447443,98.034001
48861,2.4920024,1.0842858,137.47277
2942,2.3860186,1.0244893,69.127023
42248,2.3202428,1.0099411,70.414251
35512,3.1439388,1.3287727,115.16614
6512,3.4923092,1.5126706,139.40012
41494,2.2367143,0.97083105,123.11867
7436,2.4655962,1.0731877,109.04125
8613,3.2422021,1.4109817,116.66062
2364,3.4471253,1.4989657,133.72904
37084,2.1959707,0.95550467,94.789096
15764,2.7342497,1.1745876,120.2706
39104,3.0039084,1.2555875,148.86137
12690,2.1054648,0.91645545,67.813095
30210,3.3561844,1.4494625,131.77477
30024,2.7819846,1.2046557,144.97725
14771,2.2168654,0.96484113,145.24967
27304,3.665193,1.5894404,144.83868
38829,2.9822294,1.2972354,119.93038
48867,2.5890669,1.1252513,90.012216
5742,2.299666,0.99982673,123.28291
22241,3.2345258,1.4069647,96.184887
13152,3.0151355,1.2417487,133.05008
35986,3.0320081,1.2629987,83.132022
28663,2.8231318,1.1962425,115.29168
11760,2.6784262,1.1477035,140.00422
46328,3.0949237,1.3471314,133.2271
7891,3.084444,1.3080833,126.30396
26097,2.703252,1.1740483,136.0602
19365,2.8219767,1.2103314,87.194612
48420,2.8958572,1.2057291,121.79145
24734,3.4189221,1.4828659,125.27437
36300,2.8060025,1.178746,45.895812
51047,2.5432775,1.1005587,120.49844
19945,2.9976792,1.3043359,129.25795
33988,2.5277613,1.099722,146.51675
38234,3.2430426,1.4105848,143.65179
17913,3.4476372,1.4915133,148.29028
5782,2.3060166,0.99945937,122.99552
30202,2.9643935,1.2246098,117.55436
17838,2.9323656,1.2733844,113.76429
41209,3.7142026,1.6165004,123.26258
1923,3.3493212,1.456022,143.8706
44000,2.9895335,1.2940255,64.10029
2058,3.4738661,1.5112266,80.475048
18405,3.0918869,1.318435,115.58431
5688,3.1354967,1.3058729,95.694396
16825,3.7941302,1.6511877,49.631019
21288,3.467475,1.5029393,118.78155
3346,2.3578177,1.0258351,83.082891
3013,3.1059098,1.323372,87.131017
16016,3.6779575,1.5976433,80.040769
44046,2.6698824,1.1443068,90.763605
19871,2.9398462,1.2717407,105.02649
45693,3.257823,1.4081024,137.61066
47370,3.0167866,1.2993786,87.860229
21516,3.0435474,1.2499023,149.1048
44198,3.0954804,1.3229707,136.13449
9014,3.3166663,1.4407132,106.95887
3597,2.9596756,1.2693086,90.179341
10719,2.8764435,1.1929271,129.47744
29962,3.603154,1.5621388,149.80488
26349,3.6396571,1.583988,73.357331
11781,2.7662442,1.2039851,92.84473
27956,3.4279744,1.4844151,131.66251
49527,3.6280174,1.5773066,139.20486
49346,3.1457293,1.3607076,108.86801
18933,2.7114359,1.1646466,59.836683
31285,2.6834282,1.1462639,147.96721
8586,3.3100319,1.4034441,148.48856
25162,2.2711048,0.98840267,122.38447
14511,3.1854305,1.3560598,115.23612
36224,3.2384997,1.400235,145.83382
6564,3.0627545,1.2987531,128.41039
23704,3.6710052,1.5955489,139.82161
8999,2.3146396,1.007482,146.87802
33474,3.2029104,1.3812939,83.045811
27093,2.8785041,1.25275,64.946797
24624,3.3001805,1.4364689,148.19915
7230,2.491918,1.0596125,119.34683
41110,3.3739523,1.4391916,97.397578
7190,2.7827336,1.2083531,108.12618
21305,2.4036554,1.0346548,115.58349
19212,2.7383148,1.1785998,134.16614
12547,2.9864095,1.2370741,111.12305
46792,3.5335337,1.5367591,149.86326
51436,2.7061959,1.162641,139.41295
45752,2.4883604,1.0767456,55.326748
32830,3.7160099,1.6174773,128.18472
18173,3.068639,1.3276085,70.049642
2191,2.9942208,1.2854398,53.750724
26649,2.814523,1.2077023,58.897432
34919,2.6505651,1.153654,117.73953
29203,2.9989023,1.2745718,113.92989
7529,2.8239816,1.1697714,89.728044
49883,3.5834712,1.5589729,145.52053
33919,2.7637907,1.1646074,101.81304
16106,3.3484469,1.4573229,144.23165
840,2.5477819,1.0898636,67.874216
33127,3.2928809,1.4249993,146.50358
38387,2.8416837,1.2369121,145.62122
4955,3.1299514,1.3127212,55.906793
47267,2.3086766,0.99491791,80.714992
3181,3.4388229,1.4907649,61.766577
45585,3.4291626,1.4743478,74.726963
15177,2.7339689,1.1669547,133.42317
14177,3.126945,1.3429988,99.215638
12677,3.0654893,1.2740679,44.21857
2606,2.8363542,1.2165173,134.42866
48389,3.1776252,1.3711685,136.57923
7029,3.049174,1.3261454,51.557902
50632,2.7551034,1.1948227,142.90143
47995,2.8436641,1.1914856,143.4318
39394,3.7628407,1.6377162,122.81368
14659,3.5806564,1.5496832,64.450093
20146,2.6967134,1.1679394,125.40528
29886,2.8441309,1.2140099,79.508973
40471,2.7960059,1.1961247,70.784048
32433,2.4260299,1.0486548,94.352537
28977,2.7748774,1.2078346,87.939081
48099,2.9140165,1.2670244,80.275879
940,3.1415836,1.3656715,91.069835
14734,2.7486043,1.1543308,87.75662
40106,3.2059679,1.3699145,120.10888
40751,2.9126241,1.2544994,89.443041
19832,3.2531158,1.4028001,124.85355
45806,2.8306815,1.2211239,133.65379
21561,2.3025889,1.0003611,131.27381
48894,2.7152845,1.1729293,88.036449
46921,3.0167796,1.3128165,88.44067
1878,2.545593,1.1070233,147.31309
10835,3.3172181,1.4263882,142.57846
32277,2.9034524,1.2357204,98.578644
50528,2.8307146,1.2316142,67.653517
41094,2.8746932,1.2159285,119.63767
46821,2.8762834,1.1946922,77.316936
34388,2.6672664,1.1556899,125.67214
16486,3.6001439,1.5666368,106.5261
644,2.9353614,1.25435,131.72844
38799,2.3670962,1.0290644,121.08605
14419,3.1144865,1.3192237,34.027399
26686,2.9222948,1.2708405,67.75547
38794,2.9846336,1.2791641,117.36549
20679,3.5155049,1.5302095,51.079134
21119,3.0451245,1.2991982,134.43889
18900,2.7142653,1.162127,52.801876
45430,3.266653,1.4133032,149.42985
51198,3.3809086,1.4636963,73.312363
32715,3.2144514,1.3799889,107.51902
28633,3.0334695,1.2941866,120.41393
26798,3.298684,1.4340128,72.246068
18642,2.9643606,1.2900216,119.99872
1072,3.4822028,1.5139223,69.111313
42923,2.4019769,1.0308617,102.94304
47265,3.4247679,1.4900219,127.30878
48254,2.4750318,1.0763283,136.45405
48120,3.2626967,1.3785165,148.47133
7925,3.1437835,1.3679465,132.89204
14368,3.3476607,1.445636,71.941125
43294,3.3883788,1.463263,104.89496
43761,3.3711595,1.4595353,65.16352
1003,2.5193206,1.074218,114.28572
5031,2.5819669,1.1107158,98.459548
24832,3.5723628,1.5475674,93.3709
40165,3.2894396,1.3964681,125.94299
27177,2.5792236,1.1020776,74.984909
49,2.9543336,1.2791917,72.845978
38456,3.6173456,1.5713507,27.148749
451,3.0013845,1.3004616,103.4297
10467,3.0524622,1.3094818,49.010645
40162,3.8850897,1.6904359,127.94545
29337,2.5043287,1.0900498,77.613578
45014,3.0915671,1.2911142,86.649006
31440,2.633711,1.1314226,40.542246
12271,3.4495246,1.5008284,126.42488
34096,3.3669748,1.4597976,75.252247
48252,2.7146482,1.1717206,95.31613
40797,2.8280567,1.1795391,145.80644
9617,2.5538729,1.1115434,143.62856
44338,2.488884,1.060263,71.675968
15281,2.5775345,1.0988167,125.84501
36256,3.0058942,1.2274392,115.98032
45454,3.2070741,1.3939369,113.13356
32411,3.7247465,1.6211904,126.14531
